Date,Start (ET),Visitor,Visitor Points,Home,Home Points,Arena,Box Score Link
"Sat, Jan 20, 2024",8:00p,Memphis Grizzlies,96,Chicago Bulls,125,United Center,/boxscores/202401200CHI.html
"Sat, Jan 20, 2024",8:00p,Utah Jazz,126,Houston Rockets,127,Toyota Center,/boxscores/202401200HOU.html
"Sat, Jan 20, 2024",8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,97,Target Center,/boxscores/202401200MIN.html
"Sun, Jan 21, 2024",3:30p,Brooklyn Nets,114,Los Angeles Clippers,125,Crypto.com Arena,/boxscores/202401210LAC.html
"Sun, Jan 21, 2024",6:00p,Miami Heat,87,Orlando Magic,105,Kia Center,/boxscores/202401210ORL.html
"Sun, Jan 21, 2024",6:00p,Denver Nuggets,113,Washington Wizards,104,Capital One Arena,/boxscores/202401210WAS.html
"Sun, Jan 21, 2024",7:00p,Boston Celtics,116,Houston Rockets,107,Toyota Center,/boxscores/202401210HOU.html
"Sun, Jan 21, 2024",8:00p,Indiana Pacers,110,Phoenix Suns,117,Footprint Center,/boxscores/202401210PHO.html
"Sun, Jan 21, 2024",10:00p,Portland Trail Blazers,110,Los Angeles Lakers,134,Crypto.com Arena,/boxscores/202401210LAL.html
"Mon, Jan 22, 2024",7:00p,Milwaukee Bucks,122,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401220DET.html
"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,126,Orlando Magic,99,Kia Center,/boxscores/202401220ORL.html
"Mon, Jan 22, 2024",7:00p,San Antonio Spurs,123,Philadelphia 76ers,133,Wells Fargo Center,/boxscores/202401220PHI.html
"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,108,Toronto Raptors,100,Scotiabank Arena,/boxscores/202401220TOR.html
"Mon, Jan 22, 2024",8:00p,Charlotte Hornets,128,Minnesota Timberwolves,125,Target Center,/boxscores/202401220MIN.html
"Mon, Jan 22, 2024",8:30p,Boston Celtics,119,Dallas Mavericks,110,American Airlines Center,/boxscores/202401220DAL.html
"Mon, Jan 22, 2024",9:00p,Chicago Bulls,113,Phoenix Suns,115,Footprint Center,/boxscores/202401220PHO.html
"Mon, Jan 22, 2024",10:00p,Atlanta Hawks,107,Sacramento Kings,122,Golden 1 Center,/boxscores/202401220SAC.html
"Tue, Jan 23, 2024",7:00p,Denver Nuggets,114,Indiana Pacers,109,Gainbridge Fieldhouse,/boxscores/202401230IND.html
"Tue, Jan 23, 2024",7:30p,New York Knicks,108,Brooklyn Nets,103,Barclays Center,/boxscores/202401230BRK.html
"Tue, Jan 23, 2024",8:00p,Utah Jazz,124,New Orleans Pelicans,153,Smoothie King Center,/boxscores/202401230NOP.html
"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,109,Oklahoma City Thunder,111,Paycom Center,/boxscores/202401230OKC.html
"Tue, Jan 23, 2024",10:00p,Los Angeles Lakers,116,Los Angeles Clippers,127,Crypto.com Arena,/boxscores/202401230LAC.html
"Wed, Jan 24, 2024",7:00p,Charlotte Hornets,106,Detroit Pistons,113,Little Caesars Arena,/boxscores/202401240DET.html
"Wed, Jan 24, 2024",7:00p,Minnesota Timberwolves,118,Washington Wizards,107,Capital One Arena,/boxscores/202401240WAS.html
"Wed, Jan 24, 2024",7:30p,Memphis Grizzlies,105,Miami Heat,96,Kaseya Center,/boxscores/202401240MIA.html
"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,137,Houston Rockets,131,Toyota Center,/boxscores/202401240HOU.html
"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,126,Fiserv Forum,/boxscores/202401240MIL.html
"Wed, Jan 24, 2024",8:30p,Phoenix Suns,132,Dallas Mavericks,109,American Airlines Center,/boxscores/202401240DAL.html
"Wed, Jan 24, 2024",9:30p,Oklahoma City Thunder,140,San Antonio Spurs,114,Frost Bank Center,/boxscores/202401240SAS.html
"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,112,Golden State Warriors,134,Chase Center,/boxscores/202401240GSW.html
"Thu, Jan 25, 2024",7:00p,Philadelphia 76ers,122,Indiana Pacers,134,Gainbridge Fieldhouse,/boxscores/202401250IND.html
"Thu, Jan 25, 2024",7:00p,Utah Jazz,123,Washington Wizards,108,Capital One Arena,/boxscores/202401250WAS.html
"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,96,Brooklyn Nets,94,Barclays Center,/boxscores/202401250BRK.html
"Thu, Jan 25, 2024",7:30p,Boston Celtics,143,Miami Heat,110,Kaseya Center,/boxscores/202401250MIA.html
"Thu, Jan 25, 2024",7:30p,Denver Nuggets,84,New York Knicks,122,Madison Square Garden (IV),/boxscores/202401250NYK.html
"Thu, Jan 25, 2024",10:00p,Sacramento Kings,134,Golden State Warriors,133,Chase Center,/boxscores/202401250GSW.html
"Thu, Jan 25, 2024",10:30p,Chicago Bulls,132,Los Angeles Lakers,141,Crypto.com Arena,/boxscores/202401250LAL.html
"Fri, Jan 26, 2024",7:00p,Dallas Mavericks,148,Atlanta Hawks,143,State Farm Arena,/boxscores/202401260ATL.html
"Fri, Jan 26, 2024",7:00p,Houston Rockets,138,Charlotte Hornets,104,Spectrum Center,/boxscores/202401260CHO.html
"Fri, Jan 26, 2024",7:00p,Phoenix Suns,131,Indiana Pacers,133,Gainbridge Fieldhouse,/boxscores/202401260IND.html
"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,127,Toronto Raptors,107,Scotiabank Arena,/boxscores/202401260TOR.html
"Fri, Jan 26, 2024",8:00p,Orlando Magic,106,Memphis Grizzlies,107,FedEx Forum,/boxscores/202401260MEM.html
"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,100,Fiserv Forum,/boxscores/202401260MIL.html
"Fri, Jan 26, 2024",8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,83,Smoothie King Center,/boxscores/202401260NOP.html
"Fri, Jan 26, 2024",9:30p,Portland Trail Blazers,100,San Antonio Spurs,116,Frost Bank Center,/boxscores/202401260SAS.html
"Sat, Jan 27, 2024",12:00p,Washington Wizards,118,Detroit Pistons,104,Little Caesars Arena,/boxscores/202401270DET.html
"Sat, Jan 27, 2024",3:00p,Miami Heat,109,New York Knicks,125,Madison Square Garden (IV),/boxscores/202401270NYK.html
"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,105,Denver Nuggets,111,Ball Arena,/boxscores/202401270DEN.html
"Sat, Jan 27, 2024",6:00p,Houston Rockets,104,Brooklyn Nets,106,Barclays Center,/boxscores/202401270BRK.html
"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,115,Boston Celtics,96,TD Garden,/boxscores/202401270BOS.html
"Sat, Jan 27, 2024",7:00p,Utah Jazz,134,Charlotte Hornets,122,Spectrum Center,/boxscores/202401270CHO.html
"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,117,Milwaukee Bucks,141,Fiserv Forum,/boxscores/202401270MIL.html
"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,145,Golden State Warriors,144,Chase Center,/boxscores/202401270GSW.html
"Sat, Jan 27, 2024",8:30p,Minnesota Timberwolves,112,San Antonio Spurs,113,Frost Bank Center,/boxscores/202401270SAS.html
"Sat, Jan 27, 2024",9:00p,Sacramento Kings,120,Dallas Mavericks,115,American Airlines Center,/boxscores/202401270DAL.html
"Sun, Jan 28, 2024",2:00p,Oklahoma City Thunder,104,Detroit Pistons,120,Little Caesars Arena,/boxscores/202401280DET.html
"Sun, Jan 28, 2024",3:30p,Memphis Grizzlies,110,Indiana Pacers,116,Gainbridge Fieldhouse,/boxscores/202401280IND.html
"Sun, Jan 28, 2024",6:00p,Toronto Raptors,125,Atlanta Hawks,126,State Farm Arena,/boxscores/202401280ATL.html
"Sun, Jan 28, 2024",6:00p,Phoenix Suns,98,Orlando Magic,113,Kia Center,/boxscores/202401280ORL.html
"Sun, Jan 28, 2024",9:00p,Chicago Bulls,104,Portland Trail Blazers,96,Moda Center,/boxscores/202401280POR.html
"Mon, Jan 29, 2024",7:00p,New York Knicks,113,Charlotte Hornets,92,Spectrum Center,/boxscores/202401290CHO.html
"Mon, Jan 29, 2024",7:00p,Los Angeles Clippers,108,Cleveland Cavaliers,118,Rocket Mortgage Fieldhouse,/boxscores/202401290CLE.html
"Mon, Jan 29, 2024",7:30p,New Orleans Pelicans,112,Boston Celtics,118,TD Garden,/boxscores/202401290BOS.html
"Mon, Jan 29, 2024",7:30p,Utah Jazz,114,Brooklyn Nets,147,Barclays Center,/boxscores/202401290BRK.html
"Mon, Jan 29, 2024",7:30p,Phoenix Suns,118,Miami Heat,105,Kaseya Center,/boxscores/202401290MIA.html
"Mon, Jan 29, 2024",8:00p,Los Angeles Lakers,119,Houston Rockets,135,Toyota Center,/boxscores/202401290HOU.html
"Mon, Jan 29, 2024",8:00p,Sacramento Kings,103,Memphis Grizzlies,94,FedEx Forum,/boxscores/202401290MEM.html
"Mon, Jan 29, 2024",8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,101,Paycom Center,/boxscores/202401290OKC.html
"Mon, Jan 29, 2024",8:00p,Washington Wizards,118,San Antonio Spurs,113,Frost Bank Center,/boxscores/202401290SAS.html
"Mon, Jan 29, 2024",8:30p,Orlando Magic,129,Dallas Mavericks,131,American Airlines Center,/boxscores/202401290DAL.html
"Mon, Jan 29, 2024",9:00p,Milwaukee Bucks,107,Denver Nuggets,113,Ball Arena,/boxscores/202401290DEN.html
"Mon, Jan 29, 2024",10:00p,Philadelphia 76ers,104,Portland Trail Blazers,130,Moda Center,/boxscores/202401290POR.html
"Tue, Jan 30, 2024",7:30p,Los Angeles Lakers,122,Atlanta Hawks,138,State Farm Arena,/boxscores/202401300ATL.html
"Tue, Jan 30, 2024",7:30p,Indiana Pacers,124,Boston Celtics,129,TD Garden,/boxscores/202401300BOS.html
"Tue, Jan 30, 2024",7:30p,Utah Jazz,103,New York Knicks,118,Madison Square Garden (IV),/boxscores/202401300NYK.html
"Tue, Jan 30, 2024",8:00p,Toronto Raptors,118,Chicago Bulls,107,United Center,/boxscores/202401300CHI.html
"Tue, Jan 30, 2024",10:00p,Philadelphia 76ers,107,Golden State Warriors,119,Chase Center,/boxscores/202401300GSW.html
"Wed, Jan 31, 2024",7:00p,Chicago Bulls,117,Charlotte Hornets,110,Spectrum Center,/boxscores/202401310CHO.html
"Wed, Jan 31, 2024",7:00p,Detroit Pistons,121,Cleveland Cavaliers,128,Rocket Mortgage Fieldhouse,/boxscores/202401310CLE.html
"Wed, Jan 31, 2024",7:00p,Los Angeles Clippers,125,Washington Wizards,109,Capital One Arena,/boxscores/202401310WAS.html
"Wed, Jan 31, 2024",7:30p,Sacramento Kings,106,Miami Heat,115,Kaseya Center,/boxscores/202401310MIA.html
"Wed, Jan 31, 2024",8:00p,New Orleans Pelicans,110,Houston Rockets,99,Toyota Center,/boxscores/202401310HOU.html
"Wed, Jan 31, 2024",8:00p,Dallas Mavericks,87,Minnesota Timberwolves,121,Target Center,/boxscores/202401310MIN.html
"Wed, Jan 31, 2024",8:00p,Denver Nuggets,100,Oklahoma City Thunder,105,Paycom Center,/boxscores/202401310OKC.html
"Wed, Jan 31, 2024",8:00p,Orlando Magic,108,San Antonio Spurs,98,Frost Bank Center,/boxscores/202401310SAS.html
"Wed, Jan 31, 2024",8:30p,Phoenix Suns,136,Brooklyn Nets,120,Barclays Center,/boxscores/202401310BRK.html
"Wed, Jan 31, 2024",10:00p,Milwaukee Bucks,116,Portland Trail Blazers,119,Moda Center,/boxscores/202401310POR.html
"Thu, Feb 1, 2024",7:30p,Los Angeles Lakers,114,Boston Celtics,105,TD Garden,/boxscores/202402010BOS.html
"Thu, Feb 1, 2024",7:30p,Indiana Pacers,105,New York Knicks,109,Madison Square Garden (IV),/boxscores/202402010NYK.html
"Thu, Feb 1, 2024",8:00p,Cleveland Cavaliers,108,Memphis Grizzlies,101,FedEx Forum,/boxscores/202402010MEM.html
"Thu, Feb 1, 2024",10:00p,Philadelphia 76ers,127,Utah Jazz,124,Delta Center,/boxscores/202402010UTA.html
"Fri, Feb 2, 2024",7:00p,Los Angeles Clippers,136,Detroit Pistons,125,Little Caesars Arena,/boxscores/202402020DET.html
"Fri, Feb 2, 2024",7:00p,Miami Heat,110,Washington Wizards,102,Capital One Arena,/boxscores/202402020WAS.html
"Fri, Feb 2, 2024",7:30p,Phoenix Suns,120,Atlanta Hawks,129,State Farm Arena,/boxscores/202402020ATL.html
"Fri, Feb 2, 2024",7:30p,Sacramento Kings,133,Indiana Pacers,122,Gainbridge Fieldhouse,/boxscores/202402020IND.html
"Fri, Feb 2, 2024",8:00p,Toronto Raptors,106,Houston Rockets,135,Toyota Center,/boxscores/202402020HOU.html
"Fri, Feb 2, 2024",8:00p,Golden State Warriors,121,Memphis Grizzlies,101,FedEx Forum,/boxscores/202402020MEM.html
"Fri, Feb 2, 2024",8:00p,Orlando Magic,108,Minnesota Timberwolves,106,Target Center,/boxscores/202402020MIN.html
"Fri, Feb 2, 2024",8:00p,Charlotte Hornets,106,Oklahoma City Thunder,126,Paycom Center,/boxscores/202402020OKC.html
"Fri, Feb 2, 2024",8:00p,New Orleans Pelicans,114,San Antonio Spurs,113,Frost Bank Center,/boxscores/202402020SAS.html
"Fri, Feb 2, 2024",9:00p,Portland Trail Blazers,108,Denver Nuggets,120,Ball Arena,/boxscores/202402020DEN.html
"Sat, Feb 3, 2024",6:00p,Brooklyn Nets,136,Philadelphia 76ers,121,Wells Fargo Center,/boxscores/202402030PHI.html
"Sat, Feb 3, 2024",7:30p,Golden State Warriors,134,Atlanta Hawks,141,State Farm Arena,/boxscores/202402030ATL.html
"Sat, Feb 3, 2024",8:00p,Sacramento Kings,123,Chicago Bulls,115,United Center,/boxscores/202402030CHI.html
"Sat, Feb 3, 2024",8:30p,Milwaukee Bucks,129,Dallas Mavericks,117,American Airlines Center,/boxscores/202402030DAL.html
"Sat, Feb 3, 2024",8:30p,Los Angeles Lakers,113,New York Knicks,105,Madison Square Garden (IV),/boxscores/202402030NYK.html
"Sat, Feb 3, 2024",8:30p,Cleveland Cavaliers,117,San Antonio Spurs,101,Frost Bank Center,/boxscores/202402030SAS.html
"Sun, Feb 4, 2024",3:00p,Orlando Magic,111,Detroit Pistons,99,Little Caesars Arena,/boxscores/202402040DET.html
"Sun, Feb 4, 2024",3:30p,Phoenix Suns,140,Washington Wizards,112,Capital One Arena,/boxscores/202402040WAS.html
"Sun, Feb 4, 2024",6:00p,Memphis Grizzlies,91,Boston Celtics,131,TD Garden,/boxscores/202402040BOS.html
"Sun, Feb 4, 2024",6:00p,Indiana Pacers,115,Charlotte Hornets,99,Spectrum Center,/boxscores/202402040CHO.html
"Sun, Feb 4, 2024",6:00p,Los Angeles Clippers,103,Miami Heat,95,Kaseya Center,/boxscores/202402040MIA.html
"Sun, Feb 4, 2024",7:00p,Houston Rockets,90,Minnesota Timberwolves,111,Target Center,/boxscores/202402040MIN.html
"Sun, Feb 4, 2024",7:00p,Toronto Raptors,127,Oklahoma City Thunder,135,Paycom Center,/boxscores/202402040OKC.html
"Sun, Feb 4, 2024",8:00p,Milwaukee Bucks,108,Utah Jazz,123,Delta Center,/boxscores/202402040UTA.html
"Sun, Feb 4, 2024",8:30p,Portland Trail Blazers,103,Denver Nuggets,112,Ball Arena,/boxscores/202402040DEN.html
"Mon, Feb 5, 2024",7:00p,Los Angeles Lakers,124,Charlotte Hornets,118,Spectrum Center,/boxscores/202402050CHO.html
"Mon, Feb 5, 2024",7:00p,Sacramento Kings,110,Cleveland Cavaliers,136,Rocket Mortgage Fieldhouse,/boxscores/202402050CLE.html
"Mon, Feb 5, 2024",7:00p,Dallas Mavericks,118,Philadelphia 76ers,102,Wells Fargo Center,/boxscores/202402050PHI.html
"Mon, Feb 5, 2024",7:30p,Los Angeles Clippers,149,Atlanta Hawks,144,State Farm Arena,/boxscores/202402050ATL.html
"Mon, Feb 5, 2024",7:30p,Golden State Warriors,109,Brooklyn Nets,98,Barclays Center,/boxscores/202402050BRK.html
"Mon, Feb 5, 2024",8:00p,Toronto Raptors,100,New Orleans Pelicans,138,Smoothie King Center,/boxscores/202402050NOP.html
"Tue, Feb 6, 2024",7:00p,Houston Rockets,129,Indiana Pacers,132,Gainbridge Fieldhouse,/boxscores/202402060IND.html
"Tue, Feb 6, 2024",7:30p,Dallas Mavericks,119,Brooklyn Nets,107,Barclays Center,/boxscores/202402060BRK.html
"Tue, Feb 6, 2024",7:30p,Orlando Magic,95,Miami Heat,121,Kaseya Center,/boxscores/202402060MIA.html
"Tue, Feb 6, 2024",7:30p,Memphis Grizzlies,113,New York Knicks,123,Madison Square Garden (IV),/boxscores/202402060NYK.html
"Tue, Feb 6, 2024",8:00p,Minnesota Timberwolves,123,Chicago Bulls,129,United Center,/boxscores/202402060CHI.html
"Tue, Feb 6, 2024",9:00p,Oklahoma City Thunder,117,Utah Jazz,124,Delta Center,/boxscores/202402060UTA.html
"Tue, Feb 6, 2024",10:00p,Milwaukee Bucks,106,Phoenix Suns,114,Footprint Center,/boxscores/202402060PHO.html
"Wed, Feb 7, 2024",7:00p,Toronto Raptors,123,Charlotte Hornets,117,Spectrum Center,/boxscores/202402070CHO.html
"Wed, Feb 7, 2024",7:00p,Cleveland Cavaliers,114,Washington Wizards,106,Capital One Arena,/boxscores/202402070WAS.html
"Wed, Feb 7, 2024",7:30p,Atlanta Hawks,117,Boston Celtics,125,TD Garden,/boxscores/202402070BOS.html
"Wed, Feb 7, 2024",7:30p,San Antonio Spurs,104,Miami Heat,116,Kaseya Center,/boxscores/202402070MIA.html
"Wed, Feb 7, 2024",7:30p,Golden State Warriors,127,Philadelphia 76ers,104,Wells Fargo Center,/boxscores/202402070PHI.html
"Wed, Feb 7, 2024",10:00p,New Orleans Pelicans,117,Los Angeles Clippers,106,Crypto.com Arena,/boxscores/202402070LAC.html
"Wed, Feb 7, 2024",10:00p,Detroit Pistons,133,Sacramento Kings,120,Golden 1 Center,/boxscores/202402070SAC.html
"Thu, Feb 8, 2024",7:00p,Golden State Warriors,131,Indiana Pacers,109,Gainbridge Fieldhouse,/boxscores/202402080IND.html
"Thu, Feb 8, 2024",7:00p,San Antonio Spurs,111,Orlando Magic,127,Kia Center,/boxscores/202402080ORL.html
"Thu, Feb 8, 2024",7:30p,Cleveland Cavaliers,118,Brooklyn Nets,95,Barclays Center,/boxscores/202402080BRK.html
"Thu, Feb 8, 2024",7:30p,Dallas Mavericks,122,New York Knicks,108,Madison Square Garden (IV),/boxscores/202402080NYK.html
"Thu, Feb 8, 2024",8:00p,Chicago Bulls,118,Memphis Grizzlies,110,FedEx Forum,/boxscores/202402080MEM.html
"Thu, Feb 8, 2024",8:00p,Minnesota Timberwolves,129,Milwaukee Bucks,105,Fiserv Forum,/boxscores/202402080MIL.html
"Thu, Feb 8, 2024",9:00p,Utah Jazz,115,Phoenix Suns,129,Footprint Center,/boxscores/202402080PHO.html
"Thu, Feb 8, 2024",10:00p,Denver Nuggets,114,Los Angeles Lakers,106,Crypto.com Arena,/boxscores/202402080LAL.html
"Thu, Feb 8, 2024",10:00p,Detroit Pistons,128,Portland Trail Blazers,122,Moda Center,/boxscores/202402080POR.html
"Fri, Feb 9, 2024",7:00p,Atlanta Hawks,127,Philadelphia 76ers,121,Wells Fargo Center,/boxscores/202402090PHI.html
"Fri, Feb 9, 2024",7:30p,Washington Wizards,129,Boston Celtics,133,TD Garden,/boxscores/202402090BOS.html
"Fri, Feb 9, 2024",7:30p,Houston Rockets,104,Toronto Raptors,107,Scotiabank Arena,/boxscores/202402090TOR.html
"Fri, Feb 9, 2024",8:00p,Charlotte Hornets,84,Milwaukee Bucks,120,Fiserv Forum,/boxscores/202402090MIL.html
"Fri, Feb 9, 2024",10:00p,Denver Nuggets,106,Sacramento Kings,135,Golden 1 Center,/boxscores/202402090SAC.html
"Fri, Feb 9, 2024",10:30p,New Orleans Pelicans,122,Los Angeles Lakers,139,Crypto.com Arena,/boxscores/202402090LAL.html
"Sat, Feb 10, 2024",3:00p,Oklahoma City Thunder,111,Dallas Mavericks,146,American Airlines Center,/boxscores/202402100DAL.html
"Sat, Feb 10, 2024",3:30p,Detroit Pistons,106,Los Angeles Clippers,112,Crypto.com Arena,/boxscores/202402100LAC.html
"Sat, Feb 10, 2024",6:00p,San Antonio Spurs,103,Brooklyn Nets,123,Barclays Center,/boxscores/202402100BRK.html
"Sat, Feb 10, 2024",7:00p,Memphis Grizzlies,106,Charlotte Hornets,115,Spectrum Center,/boxscores/202402100CHO.html
"Sat, Feb 10, 2024",7:00p,Chicago Bulls,108,Orlando Magic,114,Kia Center,/boxscores/202402100ORL.html
"Sat, Feb 10, 2024",7:00p,Philadelphia 76ers,119,Washington Wizards,113,Capital One Arena,/boxscores/202402100WAS.html
"Sat, Feb 10, 2024",7:30p,Houston Rockets,113,Atlanta Hawks,122,State Farm Arena,/boxscores/202402100ATL.html
"Sat, Feb 10, 2024",7:30p,Indiana Pacers,125,New York Knicks,111,Madison Square Garden (IV),/boxscores/202402100NYK.html
"Sat, Feb 10, 2024",7:30p,Cleveland Cavaliers,119,Toronto Raptors,95,Scotiabank Arena,/boxscores/202402100TOR.html
"Sat, Feb 10, 2024",8:30p,Phoenix Suns,112,Golden State Warriors,113,Chase Center,/boxscores/202402100GSW.html
"Sat, Feb 10, 2024",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,84,Moda Center,/boxscores/202402100POR.html
"Sun, Feb 11, 2024",2:00p,Boston Celtics,110,Miami Heat,106,Kaseya Center,/boxscores/202402110MIA.html
"Sun, Feb 11, 2024",3:00p,Sacramento Kings,113,Oklahoma City Thunder,127,Paycom Center,/boxscores/202402110OKC.html
"Mon, Feb 12, 2024",7:00p,Indiana Pacers,102,Charlotte Hornets,111,Spectrum Center,/boxscores/202402120CHO.html
"Mon, Feb 12, 2024",7:00p,Philadelphia 76ers,123,Cleveland Cavaliers,121,Rocket Mortgage Fieldhouse,/boxscores/202402120CLE.html
"Mon, Feb 12, 2024",7:30p,Chicago Bulls,136,Atlanta Hawks,126,State Farm Arena,/boxscores/202402120ATL.html
"Mon, Feb 12, 2024",7:30p,San Antonio Spurs,122,Toronto Raptors,99,Scotiabank Arena,/boxscores/202402120TOR.html
"Mon, Feb 12, 2024",8:00p,New York Knicks,103,Houston Rockets,105,Toyota Center,/boxscores/202402120HOU.html
"Mon, Feb 12, 2024",8:00p,New Orleans Pelicans,96,Memphis Grizzlies,87,FedEx Forum,/boxscores/202402120MEM.html
"Mon, Feb 12, 2024",8:00p,Denver Nuggets,95,Milwaukee Bucks,112,Fiserv Forum,/boxscores/202402120MIL.html
"Mon, Feb 12, 2024",8:30p,Washington Wizards,104,Dallas Mavericks,112,American Airlines Center,/boxscores/202402120DAL.html
"Mon, Feb 12, 2024",9:00p,Golden State Warriors,129,Utah Jazz,107,Delta Center,/boxscores/202402120UTA.html
"Mon, Feb 12, 2024",10:30p,Minnesota Timberwolves,121,Los Angeles Clippers,100,Crypto.com Arena,/boxscores/202402120LAC.html
"Tue, Feb 13, 2024",7:30p,Boston Celtics,118,Brooklyn Nets,110,Barclays Center,/boxscores/202402130BRK.html
"Tue, Feb 13, 2024",7:30p,Oklahoma City Thunder,127,Orlando Magic,113,Kia Center,/boxscores/202402130ORL.html
"Tue, Feb 13, 2024",8:00p,Miami Heat,123,Milwaukee Bucks,97,Fiserv Forum,/boxscores/202402130MIL.html
"Tue, Feb 13, 2024",10:00p,Sacramento Kings,125,Phoenix Suns,130,Footprint Center,/boxscores/202402130PHO.html
"Tue, Feb 13, 2024",10:00p,Minnesota Timberwolves,121,Portland Trail Blazers,109,Moda Center,/boxscores/202402130POR.html
"Tue, Feb 13, 2024",10:30p,Detroit Pistons,111,Los Angeles Lakers,125,Crypto.com Arena,/boxscores/202402130LAL.html
"Wed, Feb 14, 2024",7:00p,Atlanta Hawks,99,Charlotte Hornets,122,Spectrum Center,/boxscores/202402140CHO.html
"Wed, Feb 14, 2024",7:00p,New York Knicks,100,Orlando Magic,118,Kia Center,/boxscores/202402140ORL.html
"Wed, Feb 14, 2024",7:00p,Miami Heat,109,Philadelphia 76ers,104,Wells Fargo Center,/boxscores/202402140PHI.html
"Wed, Feb 14, 2024",7:30p,Brooklyn Nets,86,Boston Celtics,136,TD Garden,/boxscores/202402140BOS.html
"Wed, Feb 14, 2024",7:30p,Chicago Bulls,105,Cleveland Cavaliers,108,Rocket Mortgage Fieldhouse,/boxscores/202402140CLE.html
"Wed, Feb 14, 2024",7:30p,Indiana Pacers,127,Toronto Raptors,125,Scotiabank Arena,/boxscores/202402140TOR.html
"Wed, Feb 14, 2024",8:00p,Houston Rockets,113,Memphis Grizzlies,121,FedEx Forum,/boxscores/202402140MEM.html
"Wed, Feb 14, 2024",8:00p,Washington Wizards,126,New Orleans Pelicans,133,Smoothie King Center,/boxscores/202402140NOP.html
"Wed, Feb 14, 2024",8:30p,San Antonio Spurs,93,Dallas Mavericks,116,American Airlines Center,/boxscores/202402140DAL.html
"Wed, Feb 14, 2024",9:00p,Sacramento Kings,102,Denver Nuggets,98,Ball Arena,/boxscores/202402140DEN.html
"Wed, Feb 14, 2024",9:00p,Detroit Pistons,100,Phoenix Suns,116,Footprint Center,/boxscores/202402140PHO.html
"Wed, Feb 14, 2024",9:00p,Los Angeles Lakers,138,Utah Jazz,122,Delta Center,/boxscores/202402140UTA.html
"Wed, Feb 14, 2024",10:00p,Los Angeles Clippers,130,Golden State Warriors,125,Chase Center,/boxscores/202402140GSW.html
"Thu, Feb 15, 2024",8:30p,Milwaukee Bucks,110,Memphis Grizzlies,113,FedEx Forum,/boxscores/202402150MEM.html
"Thu, Feb 15, 2024",9:00p,Golden State Warriors,140,Utah Jazz,137,Delta Center,/boxscores/202402150UTA.html
"Thu, Feb 15, 2024",10:00p,Minnesota Timberwolves,128,Portland Trail Blazers,91,Moda Center,/boxscores/202402150POR.html
"Thu, Feb 22, 2024",7:00p,Orlando Magic,116,Cleveland Cavaliers,109,Rocket Mortgage Fieldhouse,/boxscores/202402220CLE.html
"Thu, Feb 22, 2024",7:00p,Detroit Pistons,115,Indiana Pacers,129,Gainbridge Fieldhouse,/boxscores/202402220IND.html
"Thu, Feb 22, 2024",7:00p,New York Knicks,110,Philadelphia 76ers,96,Wells Fargo Center,/boxscores/202402220PHI.html
"Thu, Feb 22, 2024",7:00p,Brooklyn Nets,93,Toronto Raptors,121,Scotiabank Arena,/boxscores/202402220TOR.html
"Thu, Feb 22, 2024",7:30p,Phoenix Suns,113,Dallas Mavericks,123,American Airlines Center,/boxscores/202402220DAL.html
"Thu, Feb 22, 2024",8:00p,Boston Celtics,129,Chicago Bulls,112,United Center,/boxscores/202402220CHI.html
"Thu, Feb 22, 2024",8:00p,Houston Rockets,105,New Orleans Pelicans,127,Smoothie King Center,/boxscores/202402220NOP.html
"Thu, Feb 22, 2024",8:00p,Los Angeles Clippers,107,Oklahoma City Thunder,129,Paycom Center,/boxscores/202402220OKC.html
"Thu, Feb 22, 2024",9:00p,Washington Wizards,110,Denver Nuggets,130,Ball Arena,/boxscores/202402220DEN.html
"Thu, Feb 22, 2024",9:00p,Charlotte Hornets,115,Utah Jazz,107,Delta Center,/boxscores/202402220UTA.html
"Thu, Feb 22, 2024",10:00p,Los Angeles Lakers,110,Golden State Warriors,128,Chase Center,/boxscores/202402220GSW.html
"Thu, Feb 22, 2024",10:00p,San Antonio Spurs,122,Sacramento Kings,127,Golden 1 Center,/boxscores/202402220SAC.html
"Fri, Feb 23, 2024",7:30p,Toronto Raptors,123,Atlanta Hawks,121,State Farm Arena,/boxscores/202402230ATL.html
